,College,Number of Players
16,Duke University,18
72,University of Kentucky,15
61,"University of California, Los Angeles",15
85,University of North Carolina,15
71,University of Kansas,13
67,University of Florida,11
58,University of Arizona,10
31,Michigan State University,8
64,University of Connecticut,8
30,Marquette University,7
20,Georgia Institute of Technology,7
76,University of Memphis,6
52,Syracuse University,6
78,University of Michigan,6
93,University of Texas at Austin,6
84,University of New Mexico,5
28,Louisiana State University,5
90,University of Southern California,5
104,Wake Forest University,5
97,University of Washington,5
74,University of Louisville,4
51,Stanford University,4
1,Baylor University,4
80,University of Missouri,4
82,"University of Nevada, Las Vegas",4
60,University of California,4
62,University of Cincinnati,4
39,Oklahoma State University,4
63,University of Colorado,4
19,Georgetown University,4
